FirstName,LastName,SamAccountName,UserPrincipalName,Department,OU,Title,Password,Enabled
Luka,Doncic,luka.doncic,luka.doncic@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Austin,Reaves,austin.reaves,austin.reaves@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Marcus,Smart,marcus.smart,marcus.smart@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Luke,Kennard,luke.kennard,luke.kennard@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Nick,Smith Jr,nick.smith.jr,nick.smith.jr@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Bronny,James,bronny.james,bronny.james@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Chris,Manon,chris.manon,chris.manon@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
LeBron,James,lebron.james,lebron.james@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Rui,Hachimura,rui.hachimura,rui.hachimura@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Jarred,Vanderbilt,jarred.vanderbilt,jarred.vanderbilt@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Jake,LaRavia,jake.laravia,jake.laravia@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Dalton,Knecht,dalton.knecht,dalton.knecht@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Adou,Thiero,adou.thiero,adou.thiero@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Deandre,Ayton,deandre.ayton,deandre.ayton@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Jaxson,Hayes,jaxson.hayes,jaxson.hayes@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Maxi,Kleber,maxi.kleber,maxi.kleber@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
Drew,Timme,drew.timme,drew.timme@lakers.local,Players,Players,Player,LakersLab@2026!,TRUE
JJ,Redick,jj.redick,jj.redick@lakers.local,Coaches,Coaches,Coaching Staff,LakersLab@2026!,TRUE
assistant,coach01,assistant.coach01,assistant.coach01@lakers.local,Coaches,Coaches,Coaching Staff,LakersLab@2026!,TRUE
assistant,coach02,assistant.coach02,assistant.coach02@lakers.local,Coaches,Coaches,Coaching Staff,LakersLab@2026!,TRUE
assistant,coach03,assistant.coach03,assistant.coach03@lakers.local,Coaches,Coaches,Coaching Staff,LakersLab@2026!,TRUE
player,development01,player.development01,player.development01@lakers.local,Coaches,Coaches,Coaching Staff,LakersLab@2026!,TRUE
player,development02,player.development02,player.development02@lakers.local,Coaches,Coaches,Coaching Staff,LakersLab@2026!,TRUE
video,coordinator,video.coordinator,video.coordinator@lakers.local,Coaches,Coaches,Coaching Staff,LakersLab@2026!,TRUE
strength,coach,strength.coach,strength.coach@lakers.local,Coaches,Coaches,Coaching Staff,LakersLab@2026!,TRUE
Rob,Pelinka,rob.pelinka,rob.pelinka@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
assistant,gm01,assistant.gm01,assistant.gm01@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
assistant,gm02,assistant.gm02,assistant.gm02@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
basketball,ops01,basketball.ops01,basketball.ops01@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
basketball,ops02,basketball.ops02,basketball.ops02@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
scouting,director,scouting.director,scouting.director@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
scout,east01,scout.east01,scout.east01@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
scout,west01,scout.west01,scout.west01@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
cap,analyst,cap.analyst,cap.analyst@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
operations,manager,operations.manager,operations.manager@lakers.local,FrontOffice,FrontOffice,Front Office Staff,LakersLab@2026!,TRUE
